id,question,answer
0,ไม่ได้ IP Wall Garden,"1.ตรวจสอบว่า MAC Router วิ่งมาถึง Regional GW Router หรือยัง ถ้ายังไม่เห็น MAC ให้เขตหรือสค. ตรวจสอบ Network จาก ONU ถึง GW Router
2.ตรวจสอบการตั้งค่า IP Snooping และ Trust Port ของ L2 Device
3.แต่ถ้าทุกอย่างถูกต้องและเห็น MAC วิ่งเข้ามาถึง GW Router แล้วให้เปิด Ticket แจ้งส่วนกลาง"
1,ได้ IP Wall Garden แต่ไม่สามารถเข้าหน้าลงทะเบียนได้,"1.ตรวจสอบว่า Ping เห็น Regional GW Router ถ้า Ping เจอให้คีย์เข้าหน้าเว็ป 10.88.88.131 โดยตรง
2.ถ้า Ping ไม่เจอให้ปิด-เปิด Router แล้วลองใหม่
3.หากยังไม่ได้ให้เปิด Ticket แจ้งส่วนกลาง"
2,ลงทะเบียนสำเร็จ แต่ไม่ได้ IP Open Garden หรือค้างหน้าจอ Modem Create successfully หรือ Please wait for 1 minute and please try again,"1.ให้ปิด-เปิด Router เพื่อให้ Router ร้องขอ IP ใหม่
2.หากยังไม่ได้ตรวจสอบว่าอยู่ใน VLAN ที่ถูกต้อง (package Home ใช้ VLAN 122, package HomePlus Biz และ BizPlus ใช้ VLAN 144)
3.ถ้ายังใช้งานไม่ได้ให้เปิด Ticket แจ้งส่วนกลาง"
3,ลงทะเบียนไม่สำเร็จขึ้นหน้าจอ Option 82 Incorrect,"1.ตรวจสอบ Option 82 บน L2 Device (OLT) ว่าตั้งค่าถูกต้องหรือไม่
2.ตรวจสอบ Report Option82 บนหน้าจอ Netka ว่า Fail จากสาเหตุใด และจีงทำการแก้ไข"
4,ลงทะเบียนไม่สำเร็จขึ้นหน้าจอ Option 82 xxxxx,"1.ตรวจสอบว่าเป็นอุปกรณ์ OLT เรุ่นใหม่ที่ยังไม่เคยใช้งานกับ AAA ใช่หรือไม่ ถ้าใช่ให้เปิด Ticket แจ้งส่วนกลางเพื่อทำ Add Database Option 82 ของอุปกรณ์ใหม่รุ่นนี้ให้กับ AAA
2.ถ้าไม่ใช่ให้ตรวจสอบ Report Option 82 บนหน้าจอ Netka ว่าเกิดจากสาเหตุใด และจึงทำการแก้ไข"
5,"การลงทะเบียนให้กับอุปกรณ์ Router, Firewall, Load Balancer หรือ Server ที่ไม่สามารถ Redirect ไปยังหน้าลงทะเบียนได้","แนะนำให้หาอุปกรณ์มาปลอม MAC address แล้วทำการลงทะเบียนแทนดังนี้
1.ให้ปลอม MAC Address ของอุปกรณ์ตัวนั้นบนคอมพิวเตอร์ (วิธีการปลอม MAC Address ดูได้ที่คำถามการปลอม MAC Address บนคอมพิวเตอร์)
2.ถอดสาย Lan ของอุปกรณ์ตัวนั้น (Router, Firewall, Load Balancer หรือ Server) ออกจาก Network
3.ต่อคอมพิวเตอร์ที่ได้ปลอม MAC แล้วเข้ากับ Network และทำการลงทะเบียนแทนอุปกรณ์จริง
4.Reset ค่า MAC ของคอมพิวเตอร์ที่ใช้ปลอม MAC เป็นค่าเดิมจากโรงงานและถอดสายออกจาก Network
5.ต่ออุปกรณ์ตัวจริง (Router, Firewall, Load Balancer หรือ Server) กลับสู่ Network ก็จะทำให้อุปกรณ์จริงใช้งานอินเตอร์เน็ตได้"
6,มีวิธีการที่ทำให้สามารถใช้ ONU/Router ที่ถุก Terminate ก่อน 7 วันหรือไม่,ใช้เครื่องมือ Clear MAC address เพื่อลบข้อมูล MAC address ของ ONU/Router ออกจากระบบ หลังจากนั้นสามารถนำ ONU/Router นั้นไปใช้งานได้ทันที
7,เปลี่ยนความเร็วภายใน Package เดิมทำอย่างไร (change package speed),1.ให้เจ้าหน้าที่ OM เปลี่ยนความเร็วผ่านระบบ OM ได้เลย โดยการแก้ไข package speed ของ Subscriber ID ที่จะเปลี่ยนลงมายัง DCSS แล้ว DCSS จะส่งต่อคำสั่งมาให้ AAA ทำการเปลี่ยนความเร็วให้
8,เปลี่ยน Package จาก Private <-> Public IP ทำอย่างไร,"ปัจจุบันจะต้องให้ OM สั่ง Terminate Subscriber ID เดิมและสร้าง Subscriber ID ใหม่ที่เป็น Package ใหม่ที่ตัองการ หลังจากนั้นจึงทำขั้นตอนดังนี้
1.ให้นำคอมพิวเตอร์ที่มีโปรแกรมการปลอม MAC address มาสร้าง MAC Address ใหม่ที่ไม่มีในฐานข้อมูลของ AAA ตามวิธีการปลอม MAC Address บนคอมพิวเตอร์
2.นำคอมพิวเตอร์นั้นมาต่อ Network และลงทะเบียนด้วยชื่อ Subscriber ID และ Password เดิมที่ถูก Terminate ไปแล้ว (เสมือนการเปลี่ยน Modem/Router ให้กับ Subscriber ID เดิม เพื่อให้ MAC Address ของ ONU/Router เดิมเป็นอิสระ)
3.ทำการเปลี่ยน VLAN ของ ONU ให้อยู่ใน VLAN ตาม Package ใหม่ (home = VLAN 122) (homeplus, biz, bizplus = VLAN 144)
4.นำ ONU/Router เดิมที่ MAC Address เป็นอิสระแล้วมาลงทะเบียนด้วย Subscriber ID และ Password ใหม่ ก็จะทำให้ลูกค้าได้ใช้งานตาม package ใหม่ (ซึ่งขั้นตอนนี้เราสามารถปลอม MAC address ของ ONU/Router และทำการลงทะเบียนที่สำนักงานแทนที่จะต้องออกไปหน้างานได้ตามขั้นตอน A.6)"
9,ทำไม DCSS ถึงเห็นสถานะ Online/Offline ไม่ตรงกับสถานะการใช้งานจริง,"การดูสถานะการเชื่อมต่อ (online/offline) แนะนำให้ดูผ่านเครื่องมือ Tshoot แทนซึ่งจะใกล้เคียงกับเหตุการณ์จริงมากกว่าดูผ่านระบบ DCSS

เนื่องจากการดูสถานะบนระบบ DCSS ของ AAA จะไม่ Realtime เหมือน PPPoE เนื่องจากใช้เทคโนโลยี IPoE ที่เป็น L3 ซึ่งเมื่อ Modem/Router ลงทะเบียนสำเร็จ MAC Address จะถูกผูกกับ IP Address ตามกำหนดเวลา Leased Time ที่กำหนดจาก DHCP Server ปัจจุบันตั้งไว้ที่ 48 Hr เมื่อไรที่ MAC Address นี้เข้ามาก็จะได้ IP Address ทันทีไม่มีการสร้าง Session เหมือนกับ PPPoE ที่จะต้องมีทุกครั้งที่เข้าใช้งานด้วยการใช้ User/Password ดังนั้นการจะดูสถานะของการใช้งานบน AAA จึงต้องใช้วิธีทางอ้อมแทนด้วยการตรวจสอบ Traffic ที่วิ่งผ่านอุปกรณ์ Shapper ซึ่งการใช้วิธีการนี้จะเป็นการเข้าไป Polling สถานะของ Traffic ของแต่ละ Sub ID ทุกๆคาบเวลาหนึ่ง โดยการเปลี่ยนสถานะจาก Online->Offline จะใช้เวลาประมาณ 20 นาที และจากสถานะ Offline->Online จะใช้เวลาประมาณ 5 นาที โดยระหว่างนี้ลูกค้าจะต้องออกอินเตอร์เน็ตได้แล้ว"
